Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
" Iraqi army heavily shelled the Kanie Karzhala camp , west of Arbil , on Friday ...	O S-MISC O O O O B-LOC E-LOC O O O O S-LOC O O O O
Israel captured East Jerusalem in the 1967 Middle East war and claims both halves of the city as its capital .	S-LOC O B-LOC E-LOC O O O B-LOC E-LOC O O O O O O O O O O O O
After Friday 's performance the Russian will have earned well over $ 100,000 in less than a fortnight , taking her appearance money into account .	O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O
" There is a lot of things that can happen , " Martinez said about her early difficulties adjusting to tennis on the cement at Flushing Meadows .	O O O O O O O O O O O O S-PER O O O O O O O O O O O O B-LOC E-LOC O
Moreau takes bronze medal as faster losing semifinalist .	S-PER O O O O O O O O
Togo win 1-0 on aggregaete	S-LOC O O O O
SOCCER - FRENCH FIRST DIVISION RESULT .	O O S-MISC O O O O
David Prinosil ( Germany ) beat Peter Tramacchi ( Australia ) 6-3 6-2 3-6 6-7 ( 5-7 ) 6-1	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O
Schalke 3 0 2 1 4 8 2	S-ORG O O O O O O O
Scorers : Ewald Brenner ( 5th minute ) , Mario Stieglmair ( 42nd ) , Ronald Brunmayr ( 43rd and 56th ) .	O O B-PER E-PER O O O O O B-PER E-PER O O O O B-PER E-PER O O O O O O
KABUL 1996-08-27	S-LOC O
BASEBALL - MAJOR LEAGUE STANDINGS AFTER SUNDAY 'S GAMES .	O O B-MISC E-MISC O O O O O O
Dhaka stocks end up on gains by engineering , banks .	S-LOC O O O O O O O O O O
ANNEX I	O O
The ruling Socialist Party last week accused Serbia 's opposition of stirring up social unrest and using workers ' already difficult social position for their own interests .	O O B-ORG E-ORG O O O S-LOC O O O O O O O O O O O O O O O O O O O O
( Prices in rupees per tonne )	O O O O O O O
The 32-year-old Bonds is hitting .307 with 35 homers and 107 RBI and has been one of the few bright spots for the last-place Giants .	O O S-PER O O O O O O O O S-MISC O O O O O O O O O O O O S-ORG O
Valerenga 20 6 6 8 26 32 24	S-ORG O O O O O O O
It has already been approved by both companies ' boards .	O O O O O O O O O O O
Men 's singles , first round	O O O O O O
Lancashire 323 ( N. Fairbrother 86 , M. Watkinson 64 ; D. Gough 4-53 )	S-ORG O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER O O
Jane Chi ( U.S. ) beat Maria Antonio Sanchez Lorenzo ( Spain ) 6-4 1-6 6-3	B-PER E-PER O S-LOC O O B-PER I-PER I-PER E-PER O S-LOC O O O O
Italian Police said on Thursday they had arrested five people in connection with the slaying of the daughter and 14-year-old nephew of a Mafia boss earlier this week .	S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
BARRY , Wales 1996-08-30	S-LOC O S-LOC O
Philadelphia 3 SAN FRANCISCO 2	S-ORG O B-ORG E-ORG O
Cercle Brugge 2 Mouscron 2	B-ORG E-ORG O S-ORG O
WED Imphold YR DIV 67.5 66.6-68.4 45.0	O S-ORG O O O O O
The consortium , called Americast , said the contract was part of its strategy to develop and market the next generation in home entertainment .	O O O O S-ORG O O O O O O O O O O O O O O O O O O O O
He was saved only by a miracle . "	O O O O O O O O O
New York Dow Jones industrial average -- 5,778.00 ( May 22/96 )	B-LOC E-LOC B-MISC E-MISC O O O O O O O O
( Sweden ) , Marcus Wills , Pedro Linhart ( Spain ) , Jamie	O S-LOC O O B-PER E-PER O B-PER E-PER O S-LOC O O S-PER
SOCCER - DUTCH FIRST DIVISION SUMMARY .	O O S-MISC O O O O
I said you should n't smoke either .	O O O O O O O O
AMMAN 1996-08-23	S-LOC O
The thefts occurred Sunday when the victim , New York jewelry wholesaler Jerry Schein , left three suitcases in a closet at Somerset Jewellers in the hotel while he checked out .	O O O O O O O O B-LOC E-LOC O O B-PER E-PER O O O O O O O O B-ORG E-ORG O O O O O O O O
Freight load factor 67.0 up 1.7 pct pts	O O O O O O O O
LISBON 1996-08-23	S-LOC O
3. Kocinski 254	O S-PER O
Kafelnikov had pulled out of last week 's tournament with a rib injury .	S-PER O O O O O O O O O O O O O
We will take it over early next month , " he said .	O O O O O O O O O O O O O
Guillaume Raoux ( France ) beat Filip Dewulf ( Belgium ) 7-6 ( 7-5 ) 3-6 1-6 6-4 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02	O S-MISC O O O O O O
TENNIS - GRAF WORKS HARD FOR FIRST-ROUND WIN .	O O S-PER O O O O O O
Frankfurt was the one bright spot in Europe .	S-LOC O O O O O O S-LOC O
Above-normal summer rainfall in the U.S. High Plains has produced near-ideal conditions for planting the 1997 hard red winter wheat crop , analysts said Wednesday .	O O O O O S-LOC B-LOC E-LOC O O O O O O O O O O O O O O O O O O
A moderate earthquake measuring 5.0 on the Richter scale shook Costa Rica on Wednesday during a visit by Japanese Prime Minister Ryutaro Hashimoto , but there were no reports of casualties or damage , officials said .	O O O O O O O S-PER O O B-LOC E-LOC O O O O O O S-MISC O O B-PER E-PER O O O O O O O O O O O O O O
4. Fogarty 236	O S-PER O
English and Scottish league soccer	S-MISC O S-MISC O O
TULF leader M. Sivasiththamparam says it is meaningless to talk to UNP about peace package and that the government should submit peace plan to parliament very soon .	O O B-PER E-PER O O O O O O O S-ORG O O O O O O O O O O O O O O O O
Brooks 69 69 74 71 , Nick Faldo ( Britain ) 70 71 68 74	S-PER O O O O O B-PER E-PER O S-LOC O O O O O
At least three people were injured when an Amtrak passenger train slammed into an empty logging truck and derailed Tuesday , officials said .	O O O O O O O O S-ORG O O O O O O O O O O O O O O O
What the people expect is to have houses , to have jobs . "	O O O O O O O O O O O O O O
( 7-1 ) 6-4	O O O O
1. Ilke Wyludda ( Germany ) 66.60 metres	O B-PER E-PER O S-LOC O O O
Russia , the only nation to have two riders in the field , made full use of their numerical superiority .	S-LOC O O O O O O O O O O O O O O O O O O O O
Dealers expected premiums to stick around current levels for the next two or three weeks , before they get a boost in the second half of September from demand for October cargoes .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Brunswijk turned himself into police after Freddy Pinas , a Surinamese-born visitor from the Netherlands , accused Brunswijk of trying to kill him on Sunday after a bar-room brawl in the small mining town of Moengo , about 56 miles ( 90 km ) east of Paramaribo , said police spokesman Ro Gajadhar .	S-PER O O O O O B-PER E-PER O O S-MISC O O O S-LOC O O S-PER O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O S-LOC O O O O B-PER E-PER O
Southampton 3 0 1 2 2 4 1	S-ORG O O O O O O O
A fire bomb was thrown over the fence into the grounds of the U.S. Consulate-General in Indonesia 's second largest city of Surabaya but no one was hurt , a mission official said on Wednesday .	O O O O O O O O O O O O O S-LOC O O S-LOC O O O O O S-LOC O O O O O O O O O O O O O
-- Sofia Newsroom , 359-2-84561	O B-ORG E-ORG O O
Drew said Peiris , a bird enthusiast , would have succeeded with the fraud if he had not tried to trade a fourth pair of bogus birds after an associate had told police of the scam .	S-PER O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Scott Randall of Soundview Financial Group said the company likely would have difficulty selling its modem-chip business .	B-PER E-PER O B-ORG I-ORG E-ORG O O O O O O O O O O O O
A shares -- distributed to former holders of property rights in the Beirut central district SOLIDERE is rebuilding -- closed at $ 104.625 unchanged from Thursday .	O O O O O O O O O O O O S-LOC O O S-ORG O O O O O O O O O O O
Kaba told reporters the annual wage bill of 171 billion Guinean francs represented 50 percent of current state expenditure , " whereas the acceptable proportion in countries similar to ours is one third " .	S-PER O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O
After three matches PSV lead the first division with nine points , three points clear of fifth-placed Ajax .	O O O S-ORG O O O O O O O O O O O O O S-ORG O
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .	S-MISC O O O O O O O O O
lost , winning percentage and games behind ) :	O O O O O O O O O
GLASGOW 1996-08-24	S-LOC O
Chonbuk 0 0 2 2 5 0	S-ORG O O O O O O
14 - Barbara Paulus ( Austria ) beat Elena Wagner ( Germany ) 7-5 7-6 ( 7-5 )	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O
Wasim rattled along to 30 not out , outscoring his partner who was unbeaten on 24 at the break , although the weather was again threatening to play the dominant role .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5. Tom Steels ( Belgium ) Mapei	O B-PER E-PER O S-LOC O S-ORG
She even worked ropelines , shaking hands with excited fans .	O O O O O O O O O O O
The world 's largest dredger said in March that it was uncertain whether it could hold 1996 full-year profit steady at the previous year 's 70.9 million guilders , but added long-term prospects were good .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
STATE OF OHIO	B-LOC I-LOC E-LOC
Mark Roe , Retief Goosen ( South Africa ) , Carl Suneson	B-PER E-PER O B-PER E-PER O B-LOC E-LOC O O B-PER E-PER
Revenue from commuter traffic 5,400 up 4.6 pct	O O O O O O O O
SAN FRANCISCO 54 71 .432 14	B-ORG E-ORG O O O O
India says sees no arms race with China , Pakistan .	S-LOC O O O O O O S-LOC O S-LOC O
With the score tied 1-1 in the ninth , Thome hit a 2-2 pitch from starter Felipe Lira ( 6-11 ) over the left-field fence for his 29th homer .	O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O
W L PCT GB	O O O O
Tuesday .	O O
Alcan aluminum , U.S. Midwest ( effective date : August 1 , 1996 )	S-ORG O O B-LOC E-LOC O O O O O O O O O
" Right after Edgar made contact , I knew I had to score , " said Tavarez . "	O O O S-PER O O O O O O O O O O O O S-PER O O
Pace trio David Millns ( 2-24 ) , Gordon Parsons ( 3-20 ) and Vince Wells ( 2-19 ) had Hampshire reeling at 81 for seven in reply to the home county 's first innings of 353 .	O O B-PER E-PER O O O O B-PER E-PER O O O O B-PER E-PER O O O O S-ORG O O O O O O O O O O O O O O O O O
England-based goalkeeper Bruce Grobbelaar has been appointed temporary head coach of the Zimbabwe national soccer team for two international matches , the Zimbabwe Football Association ( ZIFA ) said on Thursday .	S-MISC O B-PER E-PER O O O O O O O O S-LOC O O O O O O O O O B-ORG I-ORG E-ORG O S-ORG O O O O O
scores in the German Open golf championship on Thursday ( Britain	O O O B-MISC E-MISC O O O O O S-LOC
It will also boost both countries ' chances of admission to NATO and the European Union .	O O O O O O O O O O O S-ORG O O B-ORG E-ORG O
129 Robert Karlsson ( Sweden ) 67 62	O B-PER E-PER O S-LOC O O O
He said the spirit of a hurricane had guided him there .	O O O O O O O O O O O O
Police Commissioner George Grech said police were investigating the possibility that Mohammed had links to an Islamic militant group as reported by the local press .	O O B-PER E-PER O O O O O O O S-PER O O O O S-MISC O O O O O O O O O
SOCCER - ITALIAN CUP SECOND ROUND RESULTS .	O O B-MISC E-MISC O O O O
--	O
Vorskla Poltava 2 Nyva Ternopil 1	B-ORG E-ORG O B-ORG E-ORG O
Semifinals	O
He said Ibrahim was still in Amman .	O O S-PER O O O S-LOC O
" That baked lasagna better be good for $ 8.50 , " said New Yorker Rebecca Weinstein , a U.S. Open regular who was eating a sandwich she had brought from home .	O O O O O O O O O O O O O B-MISC E-MISC B-PER E-PER O O B-MISC E-MISC O O O O O O O O O O O O
PRODUCER PRICES ( % ) Jun - 0.2 +0.1 +0.2 119.6** -	O O O O O O O O O O O O
Captain Paul Prichard plundered 88 from 73 deliveries , hitting 15 fours and one six .	O B-PER E-PER O O O O O O O O O O O O O
4. Frederic Vialle ( France ) Yamaha	O B-PER E-PER O S-LOC O S-ORG
Chesterfield 3 2 0 1 3 2 6	S-ORG O O O O O O O
Jacob Hlasek ( Switzerland ) beat Nicklas Kulti ( Sweden ) 6-3 6-4	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Revenue freight-tonne kilometres ( million ) 1,600 up 7 pct	O O O O O O O O O O
( Legia Warsaw ) , Ryszard Wieczorek ( Odra Wodzislaw )	O B-ORG E-ORG O O B-PER E-PER O B-ORG E-ORG O
( 12.211 / 12.208 )	O O O O O
Amoco says in talks over Yemen oil acreage .	S-ORG O O O O S-LOC O O O
" It is a desperate move by the PUNR , which is losing its only reason for existing ahead of the electoral campaign , " said PDSR executive president Adrian Nastase .	O O O O O O O O S-ORG O O O O O O O O O O O O O O O O O S-ORG O O B-PER E-PER O
Birmingham 2 1 1 0 5 4 4	S-ORG O O O O O O O
Total ( for seven wickets - 50 overs ) 263	O O O O O O O O O O
- USDA	O S-ORG
Dutch first division summary on	S-MISC O O O O
WHEAT--Rains boost U.S. HRW planting prospects .	O O S-LOC O O O O
Lyon 3 1 1 1 4 4 4	S-ORG O O O O O O O
5. Brigita Bukovec ( Slovakia ) 12.95	O B-PER E-PER O S-LOC O O
But away from their home ground , they face unfriendly crowds who taunt the players with racist abuse .	O O O O O O O O O O O O O O O O O O O
BME repeated in its latest review rumours of involvement by Sumitomo Corp , with CNIEC said to be helping the Japanese trader unload its copper positions after it revealed in June losses of $ 1.8 billion in a decade of unauthorised deals .	S-ORG O O O O O O O O O B-ORG E-ORG O O S-ORG O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O
Salim Malik not out 6	B-PER E-PER O O O
ANKARA 1996-08-23	S-LOC O
This is a protest of warning and the next step is entering our town using all means possible , so let them shoot . "	O O O O O O O O O O O O O O O O O O O O O O O O O
Gold miner Newcrest Mining Ltd said on Wednesday it posted a A$ 4.3 million profit after tax in the final quarter of the year to June 30 , 1996 .	O O B-ORG I-ORG E-ORG O O O O O O S-MISC O O O O O O O O O O O O O O O O O O
John Kerry , even though she is n't old enough to vote .	B-PER E-PER O O O O O O O O O O O
Portland OR 5.60 up .02 5.1700 dn .01	S-LOC S-LOC O O O O O O
Dresden 792 up 11.4	S-LOC O O O
LONDON 1996-08-30	S-LOC O
It said the increase was consistent with the approach followed by other power companies and reflected the company 's new levels of preventative maintenance and equipment upgrading .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
He said all of the wounded teenagers were taken to a hospital but none of the injuries were considered life-threatening .	O O O O O O O O O O O O O O O O O O O O O
Peres is expected to fly home on Friday , officials said .	S-PER O O O O O O O O O O O
Russian army , Chechens open new round of talks .	S-MISC O O S-MISC O O O O O O
Results of Brazilian	O O S-MISC
Soyoil refined market delivery 32,900-33,000	O O O O O
1996-08-23	O
Kurt Schork	B-PER E-PER
Women 's singles , second round	O O O O O O
TOTAL VOLUME -- 83,008 60,131 22,877 --	O O O O O O O
In Kragujevac where the plant is based , 9,000 to 10,000 people gathered in the central square to express their bitterness at what Stanojlovic called government indifference .	O S-LOC O O O O O O O O O O O O O O O O O O O O O S-PER O O O O
Maturing credits are seen at 2.209 billion pesos , and there is an oversupply of 684 billion pesos from the primary auction .	O O O O O O O O O O O O O O O O O O O O O O O
3 - Wayne Ferreira ( South Africa ) beat 5 - Thomas Enqvist	O O B-PER E-PER O B-LOC E-LOC O O O O B-PER E-PER
Kombouare has signed a two-year contract and will make his debut against Morton in the Scottish League Cup on Tuesday .	S-PER O O O O O O O O O O O S-PER O O B-MISC I-MISC E-MISC O O O
Joseph Kuhn , Advanced Medical and IMED president , will become the new company 's executive vice president and chief financial officer .	B-PER E-PER O B-ORG E-ORG O S-ORG O O O O O O O O O O O O O O O O
Politehnica Timisoara 4 2 1 1 11 9 7	B-ORG E-ORG O O O O O O O
It was the second time armed " commanders " of the EPR have granted interviews outside Guerrero state , an extremely poor and volatile region where leftist protesters often have clashed violently with authorities .	O O O O O O O O O O O S-ORG O O O O S-LOC O O O O O O O O O O O O O O O O O O
